Circuito,Ejecucion,Hellinger,Jensen-Shannon
grover-noancilla_4_mqt.py,1,0.20683023889523372,0.20573216263803187
grover-noancilla_4_mqt.py,2,0.15268691454236383,0.15211858352265883
grover_3_vq.py,1,0.12452342921952778,0.1228886456481913
grover_3_vq.py,2,0.10905199673096859,0.10727697502517304
vqe_indep_4_mqt.py,1,0.1057050357903367,0.10380017629155677
vqe_indep_4_mqt.py,2,0.11013083811946242,0.10872321440093302
kickback_7_vq.py,1,0.0044987015590434165,0.0044986939456104465
kickback_7_vq.py,2,0.004215341390343444,0.004215335141136574
qft_7_vq.py,1,0.13908224385018403,0.138496907392339
qft_7_vq.py,2,0.19950923013777241,0.19764381955515972
simon_vq.py,1,0.035295888493079214,0.03529145400164465
simon_vq.py,2,0.040500180178307234,0.0404926950757562
qft_3_mqt.py,1,0.07865264700554049,0.07858393855545569
qft_3_mqt.py,2,0.09140986538510214,0.09122703356984072
grover_7_vq.py,1,0.11670891065813245,0.11514246281716693
grover_7_vq.py,2,0.15762037195261677,0.15574617718370146
qwalk-noancilla_3_mqt.py,1,0.13676057482720047,0.1365030198577301
qwalk-noancilla_3_mqt.py,2,0.2183902317481538,0.21726427129838433
bv_5_vq.py,1,0.18402511743236782,0.17988914658252486
bv_5_vq.py,2,0.19358170812950182,0.18898536238487598
qwalk-v-chain_5_mqt.py,1,0.1369327897025958,0.13626826206015918
qwalk-v-chain_5_mqt.py,2,0.08500152657805095,0.08486573774092189
dj_indep_7_mqt.py,1,0.3328859476118764,0.32300081575693385
dj_indep_7_mqt.py,2,0.16612535789528263,0.16428762414972706
qft_4_mqt.py,1,0.16656124287301133,0.16577298072783453
qft_4_mqt.py,2,0.1682791195685038,0.1672021707874071
grover-v-chain_3_mqt.py,1,0.1606507344261999,0.15715227062678722
grover-v-chain_3_mqt.py,2,0.10675782345976093,0.10563212052403956
qft_3_vq.py,1,0.1178127777413011,0.11743071587777681
qft_3_vq.py,2,0.12377500557915115,0.12332204864556191
tsp_indep_5_mqt.py,1,0.12249382099170306,0.12217704033556344
tsp_indep_5_mqt.py,2,0.09001332632668242,0.08985967041847043
qwalk-v-chain_3_mqt.py,1,0.2459110363396243,0.24403809838970134
qwalk-v-chain_3_mqt.py,2,0.24671206666796933,0.244559585009667
grover-v-chain_4_mqt.py,1,0.22054969370972552,0.2190052080979603
grover-v-chain_4_mqt.py,2,0.24746677613428628,0.24549643639657628
grover_9_vq.py,1,0.4706610220804087,0.44586908446892237
grover_9_vq.py,2,0.2211581353302849,0.21356657020164893
dj_indep_4_mqt.py,1,0.0963571984350928,0.09582600333447763
dj_indep_4_mqt.py,2,0.13151239418007124,0.12965782712811075
adder_n4_vq.py,1,0.10381377366814895,0.09816918195029335
adder_n4_vq.py,2,0.08157667850155954,0.07822233655490453
bv_4_vq.py,1,0.21049009359299126,0.20543791044017914
bv_4_vq.py,2,0.12210426159893292,0.12077776823942986
su2_5_vq.py,1,0.1041842701318999,0.1023317204574556
su2_5_vq.py,2,0.13751004657737959,0.1345468469961445
bv_9_vq.py,1,0.31718041079731996,0.29636061198117936
bv_9_vq.py,2,0.3122421028706887,0.2897104181174421
pe_5_vq.py,1,0.07371825943104422,0.0734039075966828
pe_5_vq.py,2,0.06734878480681603,0.0671533583432429
pe_4_mqt.py,1,0.17416919881814477,0.17222390971839946
pe_4_mqt.py,2,0.21960598325786354,0.21419988447953112
qaoa_indep_5_mqt.py,1,0.09309567666317813,0.09286736023433971
qaoa_indep_5_mqt.py,2,0.11425384528313343,0.11394429098356469
bv_3_vq.py,1,0.06964233550950481,0.06907162610422118
bv_3_vq.py,2,0.13376368206589787,0.13215479340038602
pe_6_mqt.py,1,0.149890522544341,0.14874457263719706
pe_6_mqt.py,2,0.48201340028186895,0.4635833028717781
pe_2_vq.py,1,0.11044225109133404,0.10831296998469753
pe_2_vq.py,2,0.06622997648341315,0.06588780746999882
3_17tc_vq.py,1,0.09526787257002191,0.09492019788788446
3_17tc_vq.py,2,0.057882178024551985,0.05772866994083851
pe_5_mqt.py,1,0.2934594881506583,0.28304934145660193
pe_5_mqt.py,2,0.25700179660082295,0.2533558884902297
pe_3_mqt.py,1,0.12802832106760478,0.12552981507647706
pe_3_mqt.py,2,0.13326403645334212,0.1311061078071409
shor_mod15_mqt.py,1,0.08147255884013688,0.08071006612776567
shor_mod15_mqt.py,2,0.16468220828878197,0.1598266849783728
tsp_indep_4_mqt.py,1,0.10582326185702468,0.10539466775392621
tsp_indep_4_mqt.py,2,0.0886365660019665,0.08802678647153907
qft_2_mqt.py,1,0.1375857775782026,0.13733921300624893
qft_2_mqt.py,2,0.11950821616665774,0.11931942928722461
qaoa_indep_3_mqt.py,1,0.18136399475389897,0.1798404105970579
qaoa_indep_3_mqt.py,2,0.10982924930263009,0.10924258067197883
grover-noancilla_3_mqt.py,1,0.1668641988022968,0.1645571379828501
grover-noancilla_3_mqt.py,2,0.11235909899036013,0.11068317158642277
shor_mod21_mqt.py,1,0.06147584682619827,0.06142783207657689
shor_mod21_mqt.py,2,0.07995849602133598,0.07987748528160071
bv_2_vq.py,1,0.03749188067648665,0.03724052962720951
bv_2_vq.py,2,0.09012514041122767,0.08873929669521363
qft_6_mqt.py,1,0.10079585377005945,0.10056323969950981
qft_6_mqt.py,2,0.09776628334277228,0.09751686759559902
su2random_3_mqt.py,1,0.028685900637374747,0.028682789965521097
su2random_3_mqt.py,2,0.04341722674745532,0.04340481743218195
pe_6_vq.py,1,0.20963298073943915,0.20668834366432573
pe_6_vq.py,2,0.21520474245949375,0.2118862722025132
qaoa_indep_4_mqt.py,1,0.1666059062830629,0.1654146611465858
qaoa_indep_4_mqt.py,2,0.16971573811781757,0.1680282142158761
vqe_indep_3_mqt.py,1,0.10455644131268596,0.10353240873638041
vqe_indep_3_mqt.py,2,0.09476523960298137,0.09399074639530429
adder_n7_vq.py,1,0.21098388624751235,0.20336789057434054
adder_n7_vq.py,2,0.12617400376460422,0.11985881133235134
adder_n10_vq.py,1,0.40981685818766095,0.3805237877979981
adder_n10_vq.py,2,0.46866614032320586,0.44211546896426734
dj_indep_5_mqt.py,1,0.0903483048419476,0.08971434511916822
dj_indep_5_mqt.py,2,0.09600263015539977,0.09546905027002438
vqe_indep_5_mqt.py,1,0.19571217604555224,0.18875977067672425
vqe_indep_5_mqt.py,2,0.13942202703704953,0.1370315069544743
